Node,Betweenness_Centrality
s__GGB9719_SGB15273,2612.124098
s__Butyricimonas_paravirosa,2132.591631
s__Clostridiaceae_bacterium_Marseille_Q4143,1687.905512
s__GGB9512_SGB14909,1295.781116
s__GGB3619_SGB4894,1116.556477
s__GGB3550_SGB4746,1086.477743
s__Akkermansia_muciniphila,1086.477743
s__Bacteroides_nordii,1086.477743
s__Mediterraneibacter_sp_NSJ_151,991.7154917
s__Jingyaoa_shaoxingensis,991.7154917
s__Collinsella_aerofaciens,968.0344906
s__Mediterraneibacter_glycyrrhizinilyticus,719.9645951
s__GGB9715_SGB15260,719.9645951
s__GGB45432_SGB63101,672.8084436
s__GGB1266_SGB1699,488.1472725
s__GGB3256_SGB4303,409.3395503
s__Ruminococcus_torques,339.2706344
s__Enterocloster_asparagiformis,331.3952212
s__Acidaminococcus_intestini,331.3952212
s__GGB9509_SGB14906,331.3952212
s__Alistipes_timonensis,331.3952212
s__GGB3626_SGB4905,313.9354428
s__Faecalibacillus_faecis,313.9354428
s__GGB3497_SGB4672,313.9354428
s__GGB9563_SGB14975,293.2267375
s__GGB45613_SGB63326,293.2267375
s__GGB3510_SGB4687,293.2267375
s__Faecalicatena_fissicatena,285.5865908
s__Butyricimonas_virosa,250.1103066
s__GGB9469_SGB14862,250.1103066
s__Oscillibacter_hominis,250.1103066
s__Butyricimonas_faecihominis,198.1354339
s__Alistipes_putredinis,198.1354339
s__Streptococcus_rubneri,133.7550599
s__Fusicatenibacter_sp_CLA_AA_H277,120.4425616
s__Parabacteroides_merdae,120.4425616
s__GGB3321_SGB4394,120.4425616
s__GGB3444_SGB4594,120.4425616
s__Clostridium_SGB48024,120.4425616
s__Blautia_wexlerae,86.09942414
s__GGB9708_SGB15234,86.09942414
s__Eubacteriaceae_bacterium,86.09942414
s__Ruminococcus_sp_AF41_9,86.09942414
s__Allisonella_histaminiformans,86.09942414
s__Intestinimonas_gabonensis,79.635628
s__bacterium_210917_DFI_7_65,79.635628
s__Phocaeicola_dorei,79.635628
s__Akkermansia_sp_KLE1798,79.635628
s__GGB34228_SGB72916,79.635628
s__Gemmiger_SGB15295,79.635628
s__Eubacterium_SGB4961,79.635628
s__Ellagibacter_isourolithinifaciens,36.47718477
